Experiment ID,Episode,Execution Time (seconds),Time Cost
400-1,400,0.7733230590820312,2286.179303930393
400-2,400,0.8858180046081543,2036.6550315031504
400-5,400,0.7647919654846191,2902.227264566457
400-7,400,0.8622901439666748,1621.7620381549268
400-8,400,0.760124921798706,1635.4156315631562
400-10,400,0.7881932258605957,1694.8547257125713
400-11,400,0.7359118461608887,1650.6111576713229
400-12,400,0.7413980960845947,2306.4295285084067
400-14,400,0.7652647495269775,2070.285550617284
400-15,400,0.792639970779419,1311.0698229822983
400-17,400,0.7486398220062256,2425.861302130213
400-20,400,0.8882119655609131,2268.8669889848243
400-21,400,0.744805097579956,1495.2549654965496
400-22,400,0.83302903175354,1481.815530886422
400-23,400,0.8838000297546387,1311.0698229822983
400-24,400,0.729924201965332,2005.1754715930851
