Experiment ID,Episode,Execution Time (seconds),Time Cost
400-1,400,0.8187737464904785,1375.3049144914492
400-4,400,0.7388021945953369,2013.79197719772
400-6,400,0.7717280387878418,1375.3049144914492
400-8,400,0.8159112930297852,2167.246568953192
400-9,400,0.7623500823974609,1395.5030303030303
400-12,400,0.7609121799468994,1507.3998739873987
400-13,400,0.7953758239746094,1375.3049144914492
400-16,400,0.7972230911254883,1375.3049144914492
400-17,400,0.8065862655639648,2327.7479697510494
400-18,400,0.7196810245513916,1496.2205761316873
400-20,400,0.738724946975708,1599.3995199519952
400-21,400,0.7425918579101562,1661.792564182344
400-22,400,0.7993259429931641,1383.5102310231023
400-23,400,0.762721061706543,1383.5102310231023
400-25,400,0.9057571887969971,1375.3049144914492
400-26,400,0.8106379508972168,1375.3049144914492
400-27,400,0.8118870258331299,1375.3049144914492
400-28,400,0.7080912590026855,1669.7918601119372
400-30,400,0.7723848819732666,1383.5102310231023
