Experiment ID,Episode,Execution Time (seconds),Time Cost
400-1,400,0.7053701877593994,766.5866666666666
400-2,400,0.7282931804656982,766.5866666666666
400-3,400,0.7113380432128906,766.5866666666666
400-4,400,0.7533230781555176,766.5866666666666
400-5,400,0.7137608528137207,2743.7841464146413
400-6,400,0.7280449867248535,766.5866666666666
400-7,400,0.7476911544799805,766.5866666666666
400-8,400,0.7313909530639648,1272.6279423868314
400-9,400,0.7218658924102783,766.5866666666666
400-10,400,0.7126369476318359,766.5866666666666
400-11,400,0.7450230121612549,766.5866666666666
400-12,400,0.7433640956878662,766.5866666666666
400-13,400,0.7350411415100098,766.5866666666666
400-14,400,0.7166340351104736,766.5866666666666
400-15,400,0.6912169456481934,766.5866666666666
400-16,400,0.7313728332519531,766.5866666666666
400-17,400,0.7337198257446289,766.5866666666666
400-18,400,0.7229681015014648,766.5866666666666
400-19,400,0.7278041839599609,766.5866666666666
400-20,400,0.7119770050048828,766.5866666666666
400-21,400,0.7468671798706055,766.5866666666666
400-22,400,0.7136180400848389,766.5866666666666
400-23,400,0.7497711181640625,766.5866666666666
400-24,400,0.7643749713897705,766.5866666666666
400-25,400,0.7719278335571289,766.5866666666666
400-26,400,0.7319891452789307,1238.8288448844885
400-27,400,0.7426788806915283,766.5866666666666
400-28,400,0.7314870357513428,766.5866666666666
400-29,400,0.7066280841827393,766.5866666666666
400-30,400,0.7467448711395264,766.5866666666666
