Experiment ID,Episode,Execution Time (seconds),Time Cost,Find
200-0,200,0.4142189025878906,99704382.70256132,False
200-1,200,0.3192861080169678,7168.085224263168,True
200-2,200,0.378648042678833,99402925.35038269,False
200-3,200,0.370603084564209,4765.763580246913,True
200-4,200,0.35457420349121094,5811.640946502057,True
200-5,200,0.34714317321777344,5064.919999999999,True
200-6,200,0.35976481437683105,6129.256759675967,True
200-7,200,0.36962223052978516,5014.406430723072,True
200-8,200,0.37227582931518555,7458.505094361289,True
200-9,200,0.3538968563079834,99704484.42307161,False
200-10,200,0.37397098541259766,5439.139999999999,True
200-11,200,0.3551468849182129,5064.919999999999,True
200-12,200,0.37822580337524414,99604117.516,False
200-13,200,0.3555178642272949,99803717.82426667,False
200-14,200,0.3299379348754883,7063.936885688569,True
200-15,200,0.37922000885009766,99703049.93937561,False
200-16,200,0.29003214836120605,5609.74,True
200-17,200,0.37091994285583496,5110.847064928715,True
200-18,200,0.34907102584838867,6585.619999999999,True
200-19,200,0.3300001621246338,5064.919999999999,True
200-20,200,0.3823361396789551,5183.789780978097,True
200-21,200,0.3649930953979492,5715.074320987654,True
200-22,200,0.36441898345947266,5204.93907590759,True
200-23,200,0.3457489013671875,6802.516954732511,True
200-24,200,0.3730051517486572,4098.012765498772,True
200-25,200,0.37145209312438965,4293.827220882088,True
200-26,200,0.3904271125793457,5798.7882666666665,True
200-27,200,0.3838918209075928,4248.814681548154,True
200-28,200,0.3660697937011719,5592.606666666667,True
200-29,200,0.345369815826416,5480.213333333333,True
300-0,300,0.5322360992431641,6367.747200000001,True
300-1,300,0.5624630451202393,5480.213333333333,True
300-2,300,0.462841272354126,5592.606666666667,True
300-3,300,0.5847740173339844,5484.526666666667,True
300-4,300,0.563054084777832,5480.213333333333,True
300-5,300,0.5710558891296387,5258.636453793527,True
300-6,300,0.5323848724365234,99803337.3288,False
300-7,300,0.43920397758483887,4294.636543209876,True
300-8,300,0.5298318862915039,6367.747200000001,True
300-9,300,0.5606026649475098,5610.44,True
300-10,300,0.5607678890228271,4995.332266666666,True
300-11,300,0.39578890800476074,5406.079999999998,True
300-12,300,0.569756031036377,5654.84925220522,True
300-13,300,0.5266590118408203,99602521.6480768,False
300-14,300,0.4865086078643799,5439.139999999999,True
300-15,300,0.5836961269378662,6585.619999999999,True
300-16,300,0.5507092475891113,4691.152307230723,True
300-17,300,0.5491249561309814,5493.993333333332,True
300-18,300,0.553447961807251,99702249.30485925,False
300-19,300,0.531541109085083,5064.919999999999,True
300-20,300,0.5187819004058838,4959.2729218107,True
300-21,300,0.5430991649627686,6770.148085688568,True
300-22,300,0.5238921642303467,5484.526666666667,True
300-23,300,0.6216568946838379,5945.391466666667,True
300-24,300,0.5060098171234131,5493.993333333332,True
300-25,300,0.5416820049285889,4644.320618930041,True
300-26,300,0.5535910129547119,5993.305390946502,True
300-27,300,0.49599695205688477,5005.027075966856,True
300-28,300,0.5209269523620605,5592.606666666667,True
300-29,300,0.485565185546875,6081.663107199609,True
400-0,400,0.7112667560577393,4811.944250345035,True
400-1,400,0.6088359355926514,4522.1456,True
400-2,400,0.8058779239654541,5713.609262286229,True
400-3,400,0.7282931804656982,5387.773868312757,True
400-4,400,0.6303110122680664,4722.63658436214,True
400-5,400,0.7551469802856445,5937.061553044193,True
400-6,400,0.6530539989471436,5524.876129612961,True
400-7,400,0.6585860252380371,6585.619999999999,True
400-8,400,0.7531099319458008,6583.426307818931,True
400-9,400,0.7290270328521729,6175.456413168724,True
400-10,400,0.8087689876556396,3943.2149254125416,True
400-11,400,0.710726261138916,5892.9258666666665,True
400-12,400,0.7401902675628662,4175.423276807681,True
400-13,400,0.7337508201599121,4225.1016049382715,True
400-14,400,0.7596619129180908,4519.2688,True
400-15,400,0.7092688083648682,6073.9583999999995,True
400-16,400,0.8230090141296387,4524.842414722953,True
400-17,400,0.6958551406860352,6587.480406114685,True
400-18,400,0.5889008045196533,5185.4400000000005,True
400-19,400,0.63338303565979,5149.735139033903,True
400-20,400,0.6783597469329834,4468.7157333333325,True
400-21,400,0.6583881378173828,99802173.12613334,False
400-22,400,0.6606249809265137,99603875.03147078,False
400-23,400,0.6611359119415283,4411.0080768076805,True
400-24,400,0.6434230804443359,7328.615031280906,True
400-25,400,0.7577769756317139,5439.139999999999,True
400-26,400,0.6396152973175049,5556.096,True
400-27,400,0.7457199096679688,99503278.38487849,False
400-28,400,0.7573111057281494,4882.8927572016455,True
400-29,400,0.8093740940093994,4871.592302819911,True
500-0,500,0.9734218120574951,5592.606666666667,True
500-1,500,0.9044709205627441,6657.457437263726,True
500-2,500,0.8938512802124023,4476.649364032699,True
500-3,500,0.5622739791870117,5609.74,True
500-4,500,0.838454008102417,5692.438024691358,True
500-5,500,0.9361662864685059,5064.919999999999,True
500-6,500,0.876270055770874,6344.576457965797,True
500-7,500,0.7983219623565674,6676.790201260126,True
500-8,500,0.8783102035522461,5808.769794238682,True
500-9,500,0.7684369087219238,5064.919999999999,True
500-10,500,0.9274470806121826,5894.495215854919,True
500-11,500,0.9336850643157959,4867.52580570057,True
500-12,500,0.9077370166778564,5439.139999999999,True
500-13,500,0.9230711460113525,6741.180873927393,True
500-14,500,0.8494651317596436,5610.44,True
500-15,500,0.6702389717102051,4372.545092398128,True
500-16,500,0.883552074432373,99602805.17733333,False
500-17,500,0.866030216217041,7533.728000000001,True
500-18,500,0.9147422313690186,4294.636543209876,True
500-19,500,0.8915989398956299,6096.33593159316,True
500-20,500,0.8214058876037598,6075.78282628263,True
500-21,500,0.9381968975067139,4356.684535046097,True
500-22,500,0.8707458972930908,99704570.09716049,False
500-23,500,0.8968520164489746,6561.972647005441,True
500-24,500,0.7353518009185791,5609.74,True
500-25,500,0.8759431838989258,5493.993333333332,True
500-26,500,0.7846052646636963,4397.381313057232,True
500-27,500,0.9320509433746338,4397.810781893004,True
500-28,500,0.8487269878387451,5329.695553481273,True
500-29,500,0.8573207855224609,99802770.74469247,False
600-0,600,1.0478990077972412,5515.736447835895,True
600-1,600,1.2285430431365967,6238.06510946502,True
600-2,600,1.0130860805511475,5692.438024691358,True
600-3,600,1.0481109619140625,6619.290009815797,True
