Experiment ID,Number of Ants,Execution Time (seconds),Time Cost (seconds)
350-1,350,0.49982714653015137,4235.959423942395
350-2,350,0.6049818992614746,1700.4016389787125
350-3,350,0.6221559047698975,1939.384788478848
350-4,350,0.6422851085662842,2073.6376177617763
350-5,350,0.6267390251159668,1902.755477467747
350-6,350,0.6091771125793457,1622.9320576131686
350-7,350,0.6239821910858154,2085.219075907591
350-8,350,0.6291408538818359,2541.393497942387
350-9,350,0.615828275680542,2354.6402340234026
350-10,350,0.4093639850616455,2196.476483648365
350-11,350,0.6168158054351807,3216.9424384290282
350-12,350,0.6280786991119385,2216.5832583258325
350-13,350,0.6422481536865234,1489.2315571557156
350-14,350,0.6161479949951172,2593.8607140714075
350-15,350,0.6396489143371582,2322.367584758476
350-16,350,0.6360971927642822,2257.5241152263375
350-17,350,0.651557207107544,1625.9970827823522
350-18,350,0.6141989231109619,2195.2545679012346
350-19,350,0.6175670623779297,2323.138841884189
350-20,350,0.610724925994873,1466.070093009301
350-21,350,0.6545510292053223,1547.1074407440744
350-22,350,0.6778261661529541,2546.6930041152264
350-23,350,0.6373939514160156,2321.5779012345683
350-24,350,0.6176230907440186,2549.2594599459953
350-25,350,0.6483681201934814,1986.2844284428443
350-26,350,0.6200520992279053,2549.2594599459953
350-27,350,0.6058201789855957,1524.5741434143415
350-28,350,0.6438889503479004,1892.4125772577258
350-29,350,0.07021284103393555,2876.9613261326135
350-30,350,0.6263439655303955,3112.0346954695483
