Experiment ID,Episode,Execution Time (seconds),Time Cost
100-2,100,0.24391484260559082,5020.312877287728
100-3,100,0.25739192962646484,5243.700360036004
100-11,100,0.26497530937194824,5610.4400000000005
100-14,100,0.24659371376037598,4600.021302130213
100-17,100,0.268341064453125,4515.136381119593
100-22,100,0.24665498733520508,4789.976537653765
100-25,100,0.29253602027893066,4221.67168283495
200-11,200,0.7268209457397461,4139.9151155115505
200-15,200,0.6109352111816406,3448.9215241524153
200-17,200,0.5869100093841553,3473.467878787879
200-18,200,0.6355183124542236,4411.0080768076805
200-24,200,0.7839279174804688,3924.1218541854187
200-26,200,0.694835901260376,4336.269357095709
200-27,200,0.6479809284210205,4151.200146125724
200-30,200,0.7128860950469971,5113.665544314432
300-1,300,1.0632760524749756,5095.699480096158
300-2,300,1.2547128200531006,3979.392809120912
300-3,300,1.2507500648498535,4373.134985418542
300-6,300,1.0443370342254639,4546.602043463606
300-9,300,1.419529914855957,4729.559267926793
300-11,300,1.353466272354126,3924.1218541854187
300-12,300,1.128218173980713,4344.313799449574
300-14,300,1.3667230606079102,3361.736105610561
300-16,300,1.3641769886016846,4425.015036096202
300-18,300,1.1849980354309082,5911.165847918126
300-19,300,1.3350601196289062,3648.4309649113056
300-22,300,1.0369789600372314,4037.6355535553553
300-23,300,1.2467551231384277,3924.1218541854187
300-24,300,1.3458037376403809,4768.559246850611
300-25,300,1.2767548561096191,4863.320329218107
300-27,300,1.2898280620574951,4324.47297416112
300-30,300,1.2371652126312256,3361.736105610561
400-3,400,1.6963269710540771,4185.783312811282
400-5,400,2.808629035949707,4620.15700570057
400-8,400,1.6059620380401611,4970.6195799579955
400-10,400,1.749547004699707,3361.736105610561
400-12,400,1.725175142288208,3924.1218541854187
400-14,400,1.6975150108337402,3361.736105610561
400-15,400,1.8547999858856201,3361.736105610561
400-26,400,1.700667142868042,3450.8292649264927
400-27,400,3.8442649841308594,4250.645850585059
400-29,400,1.9732489585876465,4786.918915224856
500-3,500,11.39916181564331,4008.4067326732675
500-5,500,10.055222034454346,3432.790111011101
500-8,500,12.87172818183899,4760.734785478548
500-14,500,8.452951908111572,4767.103372337234
500-20,500,7.619431972503662,4653.561398139815
500-24,500,11.175994157791138,3463.278859885989
500-25,500,8.270518064498901,4930.170309030904
600-2,600,23.662657022476196,3463.278859885989
600-4,600,10.307173013687134,3463.278859885989
600-8,600,13.98161005973816,3463.278859885989
600-10,600,13.091858863830566,4008.4067326732675
600-12,600,20.052674055099487,3463.278859885989
600-13,600,24.322012186050415,3416.5173837383736
600-14,600,12.512633085250854,3585.927789593774
600-15,600,12.96201491355896,4008.4067326732675
600-16,600,22.84947109222412,4704.285718571857
600-17,600,11.940808057785034,3978.9031323132313
600-20,600,12.611279010772705,4008.4067326732675
600-21,600,11.69277811050415,3463.278859885989
600-25,600,13.33858609199524,3463.278859885989
600-28,600,4.614501953125,3960.900882088209
700-1,700,53.175634145736694,4729.559267926793
700-2,700,19.31668186187744,3463.278859885989
700-3,700,23.481979846954346,4151.803504350435
700-5,700,12.104848146438599,3447.692901290129
700-6,700,12.146215915679932,3463.278859885989
700-9,700,1.7464141845703125,3442.2644584458444
700-10,700,11.659014225006104,3995.1758595859587
700-11,700,23.628063201904297,3463.278859885989
700-12,700,16.74620795249939,3447.692901290129
700-13,700,20.156409978866577,4653.561398139815
700-14,700,23.533649921417236,3463.278859885989
700-17,700,33.59170603752136,4151.803504350435
700-18,700,55.52722883224487,4459.458121812181
700-20,700,28.108168125152588,3463.278859885989
700-22,700,59.77063608169556,4616.017293729373
700-24,700,22.944329977035522,3463.278859885989
700-25,700,36.02954387664795,4452.543630363036
700-26,700,56.70104670524597,4729.559267926793
700-27,700,18.474223852157593,3463.278859885989
700-28,700,16.01746106147766,4025.664608460846
700-29,700,8.996679067611694,3978.9031323132313
700-30,700,2.5815980434417725,3960.900882088209
800-1,800,10.313552141189575,3995.1758595859587
800-2,800,17.86392378807068,4452.543630363036
800-3,800,14.82157301902771,4008.4067326732675
800-4,800,40.61973690986633,4151.803504350435
800-5,800,71.51559281349182,4255.084194419442
800-7,800,10.095643043518066,3978.9031323132313
800-8,800,42.13112282752991,3488.9192739273926
800-9,800,74.73933625221252,3447.692901290129
800-10,800,81.31641125679016,4616.017293729373
800-11,800,16.914082050323486,3463.278859885989
800-12,800,10.47870397567749,4008.4067326732675
800-13,800,26.06024479866028,3463.278859885989
800-15,800,26.04404306411743,4151.803504350435
800-16,800,10.956200361251831,4008.4067326732675
800-18,800,15.651808023452759,3463.278859885989
800-19,800,8.702537059783936,3993.8914311431145
800-20,800,20.813075065612793,3463.278859885989
800-22,800,17.292920112609863,3448.9215241524153
800-24,800,63.73659586906433,3416.5173837383736
800-26,800,17.18996286392212,3632.2190039003904
800-28,800,81.28503179550171,4616.017293729373
800-29,800,3.7839269638061523,4003.968388838884
800-30,800,81.02612805366516,4729.559267926793
900-1,900,19.64132308959961,3463.278859885989
900-2,900,57.63917398452759,4704.285718571857
900-3,900,70.90400099754333,4757.807770777078
900-4,900,11.129450798034668,3978.9031323132313
900-5,900,54.7493360042572,4727.319021902191
900-6,900,23.5703387260437,4719.717761776178
900-8,900,108.65795707702637,4585.5285448544855
900-10,900,15.739578247070312,3463.278859885989
900-11,900,17.099231004714966,4008.4067326732675
900-12,900,22.14816904067993,3463.278859885989
900-13,900,23.131068229675293,3463.278859885989
900-14,900,4.244086980819702,3960.900882088209
900-15,900,21.785841941833496,3585.927789593774
900-16,900,18.31494402885437,3447.692901290129
900-17,900,74.88282608985901,4499.685524182048
900-19,900,103.70850992202759,4729.559267926793
900-20,900,8.110991954803467,3447.692901290129
900-21,900,14.807675838470459,3463.278859885989
900-22,900,17.605957746505737,4025.664608460846
900-23,900,26.27606511116028,3463.278859885989
900-24,900,6.24205207824707,4653.561398139815
900-25,900,21.235634803771973,4025.664608460846
900-26,900,34.29545497894287,3463.278859885989
900-27,900,49.955276012420654,3463.278859885989
900-28,900,18.8799409866333,3463.278859885989
900-29,900,24.821434020996094,4459.458121812181
900-30,900,6.845890998840332,3978.9031323132313
1000-2,1000,16.965492010116577,4459.458121812181
1000-3,1000,116.2393147945404,3993.8914311431145
1000-4,1000,5.895938873291016,3960.900882088209
1000-5,1000,10.872693061828613,4240.568892889289
1000-6,1000,8.656254053115845,3447.692901290129
1000-7,1000,67.30836701393127,4704.285718571857
1000-8,1000,73.47580909729004,4704.285718571857
1000-10,1000,11.336541175842285,3978.9031323132313
1000-11,1000,17.18163824081421,4008.4067326732675
1000-13,1000,20.141995191574097,4008.4067326732675
1000-14,1000,115.23960018157959,5122.342802280228
1000-15,1000,120.14511322975159,4459.458121812181
1000-16,1000,34.9000780582428,4255.084194419442
1000-17,1000,15.595731019973755,3447.692901290129
1000-18,1000,125.45120596885681,4760.734785478548
1000-19,1000,23.130375146865845,3463.278859885989
1000-20,1000,96.24864792823792,4459.458121812181
1000-22,1000,19.40018582344055,3520.6969516951694
1000-23,1000,42.40546727180481,4008.4067326732675
1000-24,1000,20.126493215560913,3463.278859885989
1000-25,1000,28.414207935333252,3463.278859885989
1000-26,1000,111.09956288337708,4008.4067326732675
1000-27,1000,17.073662281036377,3463.278859885989
1000-28,1000,12.46294093132019,3993.8914311431145
1000-29,1000,12.56033992767334,4781.765688791102
1000-30,1000,54.704023599624634,4008.4067326732675
