Experiment ID,Episode,Execution Time (seconds),Travel Time Cost (seconds),Find
400-0,400,0.732407808303833,99304386.01808724,False
400-1,400,0.6162717342376709,7029.918120164611,True
400-2,400,0.8864479064941406,6634.920259200736,True
400-3,400,0.697869062423706,6062.777777777777,True
400-4,400,0.6527800559997559,99503999.922257,False
400-5,400,0.7064838409423828,5407.27061728395,True
400-6,400,0.8807182312011719,6582.702855085509,True
400-7,400,0.531073808670044,5883.710133333332,True
400-8,400,0.8130428791046143,99703252.6593926,False
400-9,400,0.7594130039215088,99703630.17458968,False
400-10,400,0.7676229476928711,99802831.09173334,False
400-11,400,0.8160557746887207,6217.186133333333,True
400-12,400,0.7960062026977539,99603407.68838848,False
400-13,400,0.8780412673950195,99402539.86148977,False
400-14,400,1.1246891021728516,6236.897163123721,True
400-15,400,0.8286528587341309,99603161.03327379,False
400-16,400,0.5845561027526855,99704117.555861,False
400-17,400,0.5896990299224854,5406.079999999998,True
400-18,400,0.7315578460693359,6186.366486648663,True
400-19,400,0.8015129566192627,99603709.72136214,False
400-20,400,0.8395509719848633,6506.670627507196,True
400-21,400,1.1250770092010498,6585.619999999999,True
400-22,400,1.2105400562286377,99503651.4723391,False
400-23,400,1.0071797370910645,99603212.59162748,False
400-24,400,0.768226146697998,7106.836561656166,True
400-25,400,0.7818999290466309,99803348.30573058,False
400-26,400,0.6384639739990234,5406.079999999998,True
400-27,400,0.5783181190490723,4645.482772277228,True
400-28,400,0.6291821002960205,5439.139999999999,True
400-29,400,1.003005027770996,99703736.68209876,False
