Experiment ID,Number of Ants,Execution Time (seconds),Time Cost (seconds)
350-1,350,0.4096391201019287,2101.8933333333334
350-2,350,0.8826382160186768,2425.861302130213
350-3,350,0.5503041744232178,1731.0807733736337
350-4,350,0.5791780948638916,2497.5440704070406
350-5,350,0.6495048999786377,1669.8600300030002
350-6,350,0.247175931930542,2248.777466116982
350-7,350,0.5058238506317139,2147.5687192052537
350-8,350,0.6275608539581299,1517.8062706270628
350-9,350,0.6106369495391846,2169.4938666666667
350-10,350,0.6290891170501709,2169.019573957396
350-11,350,0.6212129592895508,1495.2549654965496
350-12,350,0.6155259609222412,2142.9014581458146
350-13,350,0.636876106262207,1536.6492049204921
350-14,350,0.6315882205963135,1834.5703703703705
350-15,350,0.6223840713500977,1776.8133333333335
350-16,350,0.3733246326446533,2070.7385900812305
350-17,350,0.638023853302002,1601.8332733273328
350-18,350,0.614213228225708,2250.4631443144317
350-19,350,0.637465238571167,1730.3021482148215
350-20,350,0.6180930137634277,2187.675211521152
350-21,350,0.6176118850708008,2874.4761056105613
350-22,350,0.4100930690765381,1749.2925925925929
350-23,350,0.6272649765014648,2082.0822633744856
350-24,350,0.6262280941009521,1768.7400420042004
350-25,350,0.6120429039001465,1688.0156315631566
350-26,350,0.4232490062713623,1814.3449794238682
350-27,350,0.6220557689666748,2242.029066666667
350-28,350,0.5428662300109863,1668.254515451545
350-29,350,0.6458239555358887,2082.0822633744856
350-30,350,0.6406068801879883,1624.9160816081608
