Experiment ID,Episode,Execution Time (seconds),Time Cost
400-3,400,1.5091559886932373,5368.8292778877885
400-4,400,1.9728672504425049,4585.5285448544855
400-5,400,1.6583542823791504,4128.610885088508
400-8,400,1.77650785446167,5487.735476101683
400-12,400,1.3654179573059082,3666.7953578320794
400-14,400,1.6635711193084717,4958.0470627062705
400-15,400,1.405836582183838,3993.8914311431145
400-16,400,1.4784882068634033,3440.4692289228924
400-17,400,2.1347451210021973,3361.736105610561
400-20,400,1.7769620418548584,4686.292271227123
400-24,400,1.7298731803894043,3589.03038133443
400-29,400,1.5198349952697754,5006.251485518922
400-30,400,1.663865089416504,3621.0263846384632
