Experiment ID,Number of Ants,Execution Time (seconds),Time Cost (seconds)
350-1,350,0.6128168106079102,4231.9446804680465
350-2,350,0.6117358207702637,4037.6355535553557
350-3,350,0.5942540168762207,4600.021302130213
350-4,350,0.6221182346343994,4465.095385538553
350-5,350,0.6187338829040527,4991.658283828382
350-6,350,0.3546760082244873,5365.692763276325
350-7,350,0.24671602249145508,4522.482088208822
350-8,350,0.6530561447143555,4225.1016049382715
350-9,350,0.6472969055175781,3995.1758595859583
350-10,350,0.6503968238830566,4093.1819081908197
350-11,350,0.35534095764160156,3550.2784450296876
350-12,350,0.6469681262969971,4273.315596707818
350-13,350,0.6211578845977783,4418.747728772877
350-14,350,0.6219000816345215,3983.8320252025196
350-15,350,0.633746862411499,3483.373819381938
350-16,350,0.6117818355560303,3361.736105610561
350-17,350,0.6244728565216064,3361.736105610561
350-18,350,0.657006025314331,3440.4692289228924
350-19,350,0.6078760623931885,3681.133359224811
350-20,350,0.641650915145874,3566.387770777077
350-21,350,0.312359094619751,4759.450639063905
350-22,350,0.3864929676055908,4117.696111611161
350-23,350,0.6250700950622559,4694.332523252324
350-24,350,0.6323907375335693,4841.0845844584455
350-25,350,0.6296310424804688,3416.5173837383736
350-26,350,0.6233847141265869,4486.302178217821
350-27,350,0.6184747219085693,3563.2828806584357
350-28,350,0.6132421493530273,3361.736105610561
350-29,350,0.6287631988525391,4093.1819081908197
350-30,350,0.6246199607849121,4092.519693969397
