Experiment ID,Episode,Execution Time (seconds),Time Cost
400-1,400,1.5831148624420166,1913.9724152415238
400-3,400,1.3197121620178223,2795.8682525052504
400-9,400,1.4368970394134521,1913.9724152415238
400-12,400,1.4579980373382568,3787.836885688568
400-14,400,1.4428410530090332,2846.434617221722
400-15,400,1.24798583984375,4195.8437623762375
400-16,400,1.4373350143432617,1788.8200000000002
400-17,400,1.3650152683258057,2411.6134233423345
400-20,400,1.2988600730895996,2298.619273927393
400-21,400,1.5135810375213623,4591.334695469546
400-22,400,1.4948580265045166,4504.125514403291
400-23,400,1.6759376525878906,3421.280846084608
400-24,400,1.729623794555664,2236.0356495649567
400-26,400,1.504317283630371,1913.9724152415238
400-27,400,1.6101109981536865,2883.4866666666667
400-29,400,1.5155830383300781,3454.2830072607258
400-30,400,1.4403789043426514,1788.82
