Experiment ID,Episode,Execution Time (seconds),Time Cost,Find
400-0,400,0.562690019607544,2501.8666666666677,True
400-1,400,0.6166861057281494,1946.849794238683,True
400-2,400,0.7092061042785645,3211.2609465020587,True
400-3,400,0.6374568939208984,2440.4266666666676,True
400-4,400,0.7352688312530518,99601734.55215308,False
400-5,400,0.5684850215911865,3870.633333333334,True
400-6,400,0.504594087600708,2532.7200000000003,True
400-7,400,0.5818450450897217,99502916.95673904,False
400-8,400,0.7261309623718262,99701267.95830123,False
400-9,400,0.6041128635406494,2440.4266666666676,True
400-10,400,0.758213996887207,99602936.8893004,False
400-11,400,0.6083199977874756,3346.0729132913298,True
400-12,400,0.6747477054595947,2532.7200000000003,True
400-13,400,0.6942477226257324,99701199.05093497,False
400-14,400,0.7112631797790527,5069.387590759077,True
400-15,400,0.6029298305511475,3395.0600000000013,True
400-16,400,0.6678948402404785,2440.4266666666676,True
400-17,400,0.5728230476379395,3793.209492949295,True
400-18,400,0.5184619426727295,2618.0800000000004,True
400-19,400,0.6097612380981445,3643.4400000000005,True
400-20,400,0.5630757808685303,2618.0800000000004,True
400-21,400,0.621978759765625,2532.7200000000003,True
400-22,400,0.6621031761169434,2440.4266666666676,True
400-23,400,0.6800282001495361,1819.515301530153,True
400-24,400,0.6378462314605713,3134.751440329218,True
400-25,400,0.5308289527893066,2440.4266666666676,True
400-26,400,0.7360179424285889,3643.4400000000005,True
400-27,400,0.4718761444091797,2440.4266666666676,True
400-28,400,0.7128450870513916,6238.589224842486,True
400-29,400,0.4882621765136719,2440.4266666666676,True
