Experiment ID,Episode,Execution Time (seconds),Time Cost
100-4,100,0.21805429458618164,4534.593135313531
100-5,100,0.23381829261779785,4540.641360358258
100-9,100,0.2080364227294922,4453.912667266726
100-14,100,0.2438218593597412,4758.515043504351
100-22,100,0.19461679458618164,4734.3255278490815
100-28,100,0.1681070327758789,5185.4400000000005
100-29,100,0.2514345645904541,5284.415511551155
200-1,200,0.614389181137085,3924.1218541854187
200-4,200,0.535053014755249,3977.9179837983797
200-7,200,0.5068998336791992,4236.138452565257
200-8,200,0.5198221206665039,4620.15700570057
200-15,200,0.5619144439697266,4293.526081728172
200-17,200,0.5558662414550781,4587.747000514866
200-21,200,0.572455883026123,4832.181308130814
200-23,200,0.750375509262085,4609.796966816681
200-24,200,0.6049590110778809,4372.545092398128
200-25,200,0.5781230926513672,3708.8566685927854
200-26,200,0.5490212440490723,4223.3274172217225
200-27,200,0.6514818668365479,4589.651669870691
200-29,200,0.5702178478240967,3361.736105610561
300-3,300,1.190206527709961,4523.005868253492
300-4,300,1.0159740447998047,4017.0795499549954
300-6,300,0.9352805614471436,5185.4400000000005
300-7,300,1.077742576599121,3447.692901290129
300-9,300,1.0407419204711914,4185.044459408904
300-13,300,1.1833839416503906,4859.1954019105615
300-17,300,1.1652226448059082,4252.078931893189
300-19,300,1.1440353393554688,4708.843576357636
300-22,300,0.9053065776824951,4209.393375337533
300-27,300,1.0734474658966064,5406.08
300-29,300,1.0034866333007812,5363.565629094761
300-30,300,1.072169303894043,3361.736105610561
400-7,400,2.7298214435577393,4170.955481548155
400-8,400,1.474623203277588,3361.736105610561
400-10,400,1.5393195152282715,4121.953819381938
