Experiment ID,Number of Ants,Travel Time Cost (seconds),Execution Time (seconds)
1,350,4927.656617382735,0.1315746307373047
2,350,4260.564444444445,0.12548303604125977
3,350,4231.183086003301,0.08060288429260254
4,350,1450.4733333333336,0.1311633586883545
5,350,4130.152663989291,0.1166238784790039
6,350,6563.372948102207,0.12501811981201172
7,350,5576.608888888889,0.12267684936523438
8,350,5466.485783132532,0.12381100654602051
9,350,6205.658438476903,0.11265826225280762
10,350,4574.383078982597,0.13533568382263184
11,350,3878.3989825970552,0.14016437530517578
12,350,6228.60009405058,0.13729357719421387
13,350,4129.836942494781,0.07938957214355469
14,350,4741.609394974693,0.12265515327453613
15,350,6986.911405622491,0.03653573989868164
16,350,4972.737868567154,0.13617396354675293
17,350,3094.1935856099103,0.12373208999633789
18,350,1599.4361178045517,0.12968873977661133
19,350,4198.687795826754,0.12917542457580566
20,350,3485.7524980503363,0.12868905067443848
21,350,3837.7316206482596,0.12663674354553223
22,350,3755.4748959333974,0.13120460510253906
23,350,4768.990174029452,0.1211700439453125
24,350,4197.807795826755,0.13338088989257812
25,350,4108.36443139963,0.13036084175109863
26,350,4132.257937880244,0.1302030086517334
27,350,2122.575542510741,0.11887788772583008
28,350,4012.0546910022417,0.13170576095581055
29,350,6879.953631814137,0.04456305503845215
30,350,7086.645004541774,0.1291205883026123
31,350,4170.417884872825,0.1386871337890625
32,350,5022.95915349293,0.09015774726867676
33,350,5168.184014593599,0.13556551933288574
34,350,3461.344569084654,0.13421154022216797
35,350,2509.2367603748326,0.11488962173461914
36,350,3963.874136546185,0.1246488094329834
37,350,2193.496653279786,0.12205266952514648
38,350,4234.9003881178105,0.11223125457763672
39,350,3781.0272556894247,0.10313653945922852
40,350,3731.424686113466,0.13517475128173828
41,350,3698.3090227576977,0.12865662574768066
42,350,6349.596302549819,0.12894797325134277
43,350,4832.1587416331995,0.12770652770996094
44,350,4683.549529928602,0.12117362022399902
45,350,5742.409046411942,0.11621522903442383
46,350,4003.562555235351,0.13149809837341309
47,350,7416.8061095100875,0.13469338417053223
48,350,4046.1023421554905,0.11779022216796875
49,350,3841.894431057564,0.1335444450378418
50,350,6031.664628068651,0.13470935821533203
51,350,7962.505506271625,0.12073445320129395
52,350,inf,0.03205466270446777
53,350,4835.925316078916,0.13707804679870605
54,350,3248.324444444445,0.13820362091064453
55,350,7861.98755361612,0.07297396659851074
56,350,6218.658794858477,0.08861398696899414
57,350,4081.5679418434042,0.0861055850982666
58,350,3870.413384566123,0.14041638374328613
59,350,5281.465461525144,0.13816523551940918
60,350,5303.0175422739285,0.13317370414733887
61,350,4524.900709846752,0.1432647705078125
62,350,3185.7478733811736,0.12898039817810059
63,350,5025.527309236948,0.12514710426330566
64,350,4966.865087850401,0.13223028182983398
65,350,3838.8127443105755,0.12466597557067871
66,350,7506.426500327994,0.06158089637756348
67,350,5278.417777777779,0.13921332359313965
68,350,3087.3020810167122,0.12427639961242676
69,350,3032.429597566889,0.05359911918640137
70,350,4142.464351315762,0.12827372550964355
71,350,4932.582323596105,0.10900187492370605
72,350,5716.379756644253,0.1331179141998291
73,350,3866.1385809906296,0.13220500946044922
74,350,3709.211832741736,0.13315773010253906
75,350,5988.9800000000005,0.13465428352355957
76,350,3750.351534232124,0.13212275505065918
77,350,7054.318438476903,0.12922143936157227
78,350,4995.779939846349,0.12866878509521484
79,350,4272.079897940458,0.11923074722290039
80,350,5090.373273179682,0.1391909122467041
81,350,5648.1010123675105,0.1103811264038086
82,350,4107.094054963958,0.13265109062194824
83,350,4283.448868215392,0.1401839256286621
84,350,7335.888005354754,0.13987183570861816
85,350,3818.468501940733,0.13121342658996582
86,350,5083.902449498938,0.04305410385131836
87,350,4122.376396606159,0.03904986381530762
88,350,2657.2125875387146,0.13266968727111816
89,350,4924.738419520437,0.11867403984069824
90,350,4953.037868567154,0.1119546890258789
91,350,5951.710093708166,0.13274240493774414
92,350,4998.922275769746,0.12766027450561523
93,350,3382.9536415862244,0.12716245651245117
94,350,3595.82,0.1472005844116211
95,350,5206.127176203815,0.1228177547454834
96,350,4197.632509003602,0.13068485260009766
97,350,6058.139973226239,0.10368800163269043
98,350,4624.3544310575635,0.1250011920928955
99,350,4149.150587513606,0.1316535472869873
100,350,4608.693333333334,0.13119029998779297
101,350,3488.4237015690046,0.13013124465942383
102,350,3623.8070031814027,0.12767887115478516
