Experiment ID,Episode,Execution Time (seconds),Time Cost,Find
100-0,100,0.20099997520446777,99404040.93825255,False
100-1,100,0.1625230312347412,99503310.67653334,False
100-2,100,0.1533830165863037,99803571.32800001,False
100-3,100,0.16962885856628418,99503793.55550255,False
100-4,100,0.17522001266479492,99603555.99655494,False
100-5,100,0.17068862915039062,99703010.94296625,False
100-6,100,0.17119789123535156,99703151.539886,False
100-7,100,0.17226290702819824,99603264.91685727,False
100-8,100,0.16550397872924805,99801932.8227572,False
100-9,100,0.16961884498596191,99703380.48349795,False
100-10,100,0.16255402565002441,99704885.67338735,False
100-11,100,0.17045092582702637,99703942.06537284,False
100-12,100,0.18113493919372559,99803081.34006602,False
100-13,100,0.1571969985961914,99504006.2068395,False
100-14,100,0.17451786994934082,99702943.88852662,False
100-15,100,0.16863369941711426,99604397.91506007,False
100-16,100,0.16446805000305176,99703600.91367193,False
100-17,100,0.16182303428649902,99703513.99474947,False
100-18,100,0.17351388931274414,99604511.65786666,False
100-19,100,0.18031597137451172,99505139.64514683,False
100-20,100,0.16434502601623535,99703461.28457846,False
100-21,100,0.15365815162658691,99603518.68666667,False
100-22,100,0.16639423370361328,99404057.12261122,False
100-23,100,0.15476608276367188,99703462.56855686,False
100-24,100,0.18068575859069824,99802994.43907592,False
100-25,100,0.15720796585083008,99702641.20417449,False
100-26,100,0.1678318977355957,99703792.49733333,False
100-27,100,0.16716599464416504,99703389.18019724,False
100-28,100,0.155991792678833,99802573.4680288,False
100-29,100,0.16229796409606934,99703461.28457846,False
200-0,200,0.376162052154541,99702884.80868313,False
200-1,200,0.3588521480560303,5185.4400000000005,True
200-2,200,0.4280121326446533,99404154.91777284,False
200-3,200,0.37694382667541504,99605199.37406296,False
200-4,200,0.3776829242706299,99802140.37893334,False
200-5,200,0.3957531452178955,99503819.76959692,False
200-6,200,0.3586690425872803,99503354.05364817,False
200-7,200,0.3668789863586426,99605259.09175324,False
200-8,200,0.35074901580810547,99502504.13803457,False
200-9,200,0.4000508785247803,99504048.46807078,False
200-10,200,0.39553308486938477,99404071.24300082,False
200-11,200,0.3634769916534424,99604906.30345035,False
200-12,200,0.37601375579833984,99703332.303266,False
200-13,200,0.36678099632263184,99804808.52397239,False
200-14,200,0.3719139099121094,99603333.60453333,False
200-15,200,0.3754589557647705,99603706.64356378,False
200-16,200,0.3569297790527344,99702126.8939634,False
200-17,200,0.39681410789489746,99503586.81253663,False
200-18,200,0.38861584663391113,99503736.72317044,False
200-19,200,0.32970094680786133,99803023.25680768,False
200-20,200,0.37227487564086914,99803509.59173334,False
200-21,200,0.3610050678253174,99803150.36133334,False
200-22,200,0.3517289161682129,6805.268883950616,True
200-23,200,0.34592485427856445,6084.089810981097,True
200-24,200,0.3796811103820801,99603731.74933334,False
200-25,200,0.37308406829833984,99704020.81013334,False
200-26,200,0.3840970993041992,99405692.79813828,False
200-27,200,0.4022328853607178,99603455.99093333,False
200-28,200,0.3735158443450928,99403951.51811084,False
200-29,200,0.34088611602783203,5610.44,True
300-0,300,0.5471117496490479,99603750.80922073,False
300-1,300,0.618297815322876,7226.121075070467,True
300-2,300,0.6136171817779541,99405517.29747382,False
300-3,300,0.5900521278381348,4558.266283828382,True
300-4,300,0.5133390426635742,5484.526666666667,True
300-5,300,0.41760826110839844,99802847.71489713,False
300-6,300,0.42319273948669434,99703344.26121275,False
300-7,300,0.6025180816650391,6656.209099588476,True
300-8,300,0.5295188426971436,5064.919999999999,True
300-9,300,0.5254049301147461,5064.919999999999,True
300-10,300,0.6150290966033936,99503428.0598638,False
300-11,300,0.4463949203491211,5064.919999999999,True
300-12,300,0.6314849853515625,5772.722222222221,True
300-13,300,0.5725250244140625,5258.408533333332,True
300-14,300,0.4748852252960205,5610.44,True
300-15,300,0.5881040096282959,5406.079999999998,True
300-16,300,0.5943400859832764,5932.812793279327,True
300-17,300,0.4151599407196045,5064.919999999999,True
300-18,300,0.6462531089782715,5883.710133333332,True
300-19,300,0.3870711326599121,5064.919999999999,True
300-20,300,0.5516510009765625,6003.120533333332,True
300-21,300,0.612126350402832,99505647.75958684,False
300-22,300,0.4063742160797119,5064.919999999999,True
300-23,300,0.5982389450073242,4952.657654320988,True
300-24,300,0.5769350528717041,5180.1970666666675,True
300-25,300,0.5099389553070068,99705906.98133333,False
300-26,300,0.5197081565856934,6857.4218930041125,True
300-27,300,0.6201381683349609,5478.920082304525,True
300-28,300,0.584568977355957,99703449.04693334,False
300-29,300,0.56903076171875,99503906.29015565,False
400-0,400,0.8139588832855225,6054.431300411521,True
400-1,400,0.6010186672210693,5454.174536625514,True
400-2,400,0.685945987701416,99304191.05689397,False
400-3,400,0.6765971183776855,6896.05271604938,True
400-4,400,0.8301870822906494,5072.440774077407,True
400-5,400,0.4843943119049072,5064.919999999999,True
400-6,400,0.6536309719085693,5486.905634563454,True
400-7,400,0.4360809326171875,5064.919999999999,True
400-8,400,0.7384839057922363,5592.606666666667,True
400-9,400,0.7887759208679199,4554.226933333332,True
400-10,400,0.5892846584320068,99804775.01227123,False
400-11,400,0.6179392337799072,5444.241193415639,True
400-12,400,0.4770619869232178,5064.919999999999,True
400-13,400,0.7454769611358643,4683.475761316872,True
400-14,400,0.7302091121673584,5406.079999999998,True
400-15,400,0.634993314743042,5989.94341563786,True
400-16,400,0.4411299228668213,5064.919999999999,True
400-17,400,0.7568252086639404,4350.7384,True
400-18,400,0.8209671974182129,5521.620452674896,True
400-19,400,0.586143970489502,5064.919999999999,True
400-20,400,0.7574009895324707,5480.213333333333,True
400-21,400,0.8291029930114746,4519.2688,True
400-22,400,0.7086899280548096,5185.4400000000005,True
400-23,400,0.8845281600952148,4694.332523252324,True
400-24,400,0.7430319786071777,5447.419675967598,True
400-25,400,0.806311845779419,99703372.02576132,False
400-26,400,0.5294997692108154,5064.919999999999,True
400-27,400,0.7953710556030273,5480.213333333333,True
400-28,400,0.7980048656463623,99603912.1532823,False
400-29,400,0.7579019069671631,5256.629599999999,True
500-0,500,0.6365771293640137,5064.919999999999,True
500-1,500,0.8223631381988525,5480.213333333333,True
500-2,500,0.8378503322601318,7185.533599999999,True
500-3,500,1.0554630756378174,5480.213333333333,True
500-4,500,1.104292869567871,5072.440774077407,True
500-5,500,0.808164119720459,5480.213333333333,True
500-6,500,0.8950967788696289,5064.919999999999,True
500-7,500,0.9059817790985107,9044.473909465018,True
500-8,500,0.9691221714019775,5480.213333333333,True
500-9,500,1.0136539936065674,5976.327733333332,True
500-10,500,0.9453511238098145,8741.58825610561,True
500-11,500,0.9404370784759521,4863.320329218107,True
500-12,500,1.0188727378845215,5950.146609053498,True
500-13,500,0.6182849407196045,5592.606666666667,True
500-14,500,0.8978753089904785,5100.73450561056,True
500-15,500,0.915241003036499,7002.005382538252,True
500-16,500,0.9171221256256104,5610.44,True
500-17,500,0.8776679039001465,5480.213333333333,True
500-18,500,0.7782011032104492,7187.6420576131695,True
500-19,500,1.015303134918213,5805.834933333333,True
500-20,500,0.8732259273529053,5942.180658436213,True
500-21,500,0.867971658706665,5185.4400000000005,True
500-22,500,0.971735954284668,5819.575555555555,True
500-23,500,0.90643310546875,99702960.01920336,False
500-24,500,0.8019850254058838,5295.963747189533,True
500-25,500,0.9978528022766113,6066.889417283949,True
500-26,500,0.6273190975189209,5064.919999999999,True
500-27,500,0.8392250537872314,6385.390189018903,True
500-28,500,0.8105921745300293,5922.319176954732,True
500-29,500,1.0067839622497559,5185.4400000000005,True
600-0,600,0.5772380828857422,5064.919999999999,True
600-1,600,1.2109792232513428,99603916.44121316,False
600-2,600,1.0442290306091309,6075.78282628263,True
600-3,600,1.1130361557006836,5765.383015637859,True
600-4,600,0.6200740337371826,99803357.2719772,False
600-5,600,1.120690107345581,5480.213333333333,True
600-6,600,1.0209102630615234,6953.700617283948,True
