Experiment ID,Number of Ants,Time Cost (seconds)
350-398,350,3436.191646090535
350-399,350,inf
350-400,350,2927.6967999999997
350-401,350,3036.0120492049205
350-402,350,2753.413333333333
350-403,350,2011.212985538554
350-404,350,2913.295313531353
350-405,350,inf
350-406,350,2327.9568556855684
350-407,350,3045.1685761316876
350-408,350,2237.2214581458147
350-409,350,3833.596231623162
350-410,350,2801.211299129913
350-411,350,2686.4973357335734
350-412,350,2166.21296729673
350-413,350,3396.9898829882986
350-414,350,3608.09402940294
350-415,350,2676.6437333333333
350-416,350,3142.0687428742876
350-417,350,3866.5995439543954
350-418,350,3073.7187158715874
350-419,350,3462.061218121812
350-420,350,3590.7546054605464
350-421,350,1348.910219021902
350-422,350,1915.287266726673
350-423,350,1434.7533993399338
350-424,350,2364.4000480048007
350-425,350,846.9466666666666
350-426,350,2396.6872016460907
350-427,350,4014.4857305730575
350-428,350,3097.2225102880657
350-429,350,4211.3347914791475
350-430,350,2824.8179758775877
350-431,350,3322.0693381930787
350-432,350,2379.334684428443
350-433,350,3047.234485448545
350-434,350,3259.2437923792377
350-435,350,1691.529794238683
350-436,350,2830.8664206420644
350-437,350,2978.1281432098763
350-438,350,3567.774107410741
350-439,350,2724.2808460846086
350-440,350,2019.0200120012
350-441,350,inf
350-442,350,3303.791617161716
350-443,350,3163.3677333333335
350-444,350,4192.202076207621
350-445,350,2695.1186438643863
350-446,350,2791.3435643564358
350-447,350,3357.6086468646863
350-448,350,2744.798418471477
350-449,350,inf
350-450,350,3205.8467489711934
350-451,350,3496.557305730573
350-452,350,3139.264782478248
350-453,350,1450.124842706493
350-454,350,3166.222898289829
350-455,350,2416.441680168017
350-456,350,1592.7688688868889
350-457,350,1830.0983127572017
350-458,350,2150.305508550855
350-459,350,2037.3408940894092
350-460,350,2891.398079807981
350-461,350,2933.254875487549
350-462,350,2139.582076207621
350-463,350,1892.2764476447646
350-464,350,3298.6190279027905
350-465,350,1993.704692469247
350-466,350,2311.799303930393
350-467,350,3169.885724572457
350-468,350,3958.7151483948396
350-469,350,3621.207818781878
350-470,350,3700.2431683168315
350-471,350,1966.0050825082508
350-472,350,3166.89646090535
350-473,350,4143.486270627063
350-474,350,1558.368784878488
350-475,350,3169.458724279835
350-476,350,4369.373387338734
350-477,350,1405.8498620232392
350-478,350,inf
350-479,350,2889.68
350-480,350,inf
350-481,350,1241.5533333333333
350-482,350,3022.0909510951096
350-483,350,2177.7817521752177
350-484,350,3223.831335133513
350-485,350,2438.0725925925926
350-486,350,1296.8729312931293
350-487,350,3209.89500750075
350-488,350,3241.0637623762377
350-489,350,3005.2258666666667
350-490,350,2689.0242666666663
350-491,350,3125.2898349834986
350-492,350,2564.8253645364534
350-493,350,3256.748484848485
350-494,350,2622.2906030603062
350-495,350,992.152505730573
350-496,350,3008.3290666666667
350-497,350,1708.792607260726
350-498,350,2424.0031275720166
350-499,350,387.4866666666667
350-500,350,2794.0620762076205
350-501,350,1736.495199519952
350-502,350,2596.983522352235
350-503,350,2120.377901234568
350-504,350,2881.9557333333332
350-505,350,1676.092397239724
350-506,350,3571.5717491749174
350-507,350,2793.453615361536
350-508,350,3599.817901234568
350-509,350,2285.319471947195
350-510,350,2068.6734533453346
350-511,350,3227.1118631863183
350-512,350,1733.1217641764174
350-513,350,2879.0600000000004
350-514,350,2494.9205220522053
350-515,350,3171.6017581758174
350-516,350,3173.6749382716052
350-517,350,2952.4689648964895
350-518,350,1688.2314011401138
350-519,350,2455.446270627063
350-520,350,2488.7064530897537
350-521,350,2591.093004115226
350-522,350,2961.433868312757
350-523,350,1727.0169696969697
350-524,350,3210.8446684668465
350-525,350,2406.7017581758173
350-526,350,4561.079459945995
350-527,350,2948.647314731473
350-528,350,2479.792481008101
350-529,350,3856.3724152415243
350-530,350,2419.5120492049205
350-531,350,2552.805066666667
350-532,350,3272.521512151215
350-533,350,2080.4479423868315
350-534,350,2234.493497942387
350-535,350,1676.076789678968
350-536,350,1591.982304230423
350-537,350,3177.8759675967594
350-538,350,3075.0547434743476
350-539,350,4573.625430543054
350-540,350,2106.386933333333
350-541,350,3075.5932313231324
350-542,350,2770.3974187818776
350-543,350,4702.8679207920795
350-544,350,2562.1886948694873
350-545,350,2739.61197719772
350-546,350,2088.056873687369
350-547,350,3325.130382478248
350-548,350,2315.6454365436543
350-549,350,1743.2261266126611
350-550,350,1662.6790639063906
350-551,350,2946.330507050705
350-552,350,3285.411395139514
350-553,350,2461.262616261626
350-554,350,3527.9576177617764
350-555,350,3719.2295884773666
350-556,350,2354.873501234568
350-557,350,2084.2863374485596
350-558,350,3832.9363374485597
350-559,350,1373.7448784878488
350-560,350,inf
350-561,350,1372.072838209747
350-562,350,1553.1221333333333
350-563,350,3143.105712571257
350-564,350,1260.4631275720164
350-565,350,2806.302401573491
350-566,350,2725.31798379838
350-567,350,3719.227200720072
350-568,350,3113.2769816981695
350-569,350,3711.7923192319236
350-570,350,2743.0945794238683
350-571,350,2260.4785700792304
350-572,350,2929.9759259259263
350-573,350,1828.9958436213992
350-574,350,2829.2329853726114
350-575,350,2823.869666966697
350-576,350,1013.9000000000001
350-577,350,2652.0581333333334
350-578,350,3361.182730273028
350-579,350,1814.637587758776
350-580,350,2367.8353315331533
350-581,350,1852.3231563156316
350-582,350,2149.9533333333334
350-583,350,3041.3045267489715
350-584,350,2906.37341563786
350-585,350,1699.474107410741
350-586,350,2081.4703999999997
350-587,350,2235.0424691358025
350-588,350,2023.5087188718871
350-589,350,2282.427878787879
350-590,350,3047.484814814815
350-591,350,4099.276873687369
350-592,350,1604.78300030003
350-593,350,2315.4066666666668
350-594,350,2849.739273927393
350-595,350,3942.0710231023104
350-596,350,3461.690189018902
350-597,350,2828.71390946502
350-598,350,3711.7764609053497
350-599,350,2658.4327160493826
350-600,350,2517.280210021002
350-601,350,2726.7333633363337
350-602,350,1759.8479012345679
350-603,350,1837.5338683127572
350-604,350,2837.6085688568855
350-605,350,1836.7289528952897
350-606,350,2327.6933453345337
350-607,350,inf
350-608,350,2896.310501050105
350-609,350,1948.3309876543208
350-610,350,2187.50402640264
350-611,350,1896.3641404140415
350-612,350,2886.3829333333333
350-613,350,2151.0283521152114
350-614,350,3025.0547374737475
350-615,350,3282.200306030603
350-616,350,3422.787942386831
350-617,350,3625.890933333333
350-618,350,3180.4208460846085
350-619,350,1530.1353855385537
350-620,350,1942.8635643564357
350-621,350,2072.8600411522634
350-622,350,4684.613333333334
350-623,350,1621.592397239724
350-624,350,2114.7025442544254
350-625,350,2355.0333333333333
350-626,350,2243.6965676567656
350-627,350,4186.675973597359
350-628,350,3728.2989618961897
350-629,350,2294.0672547254726
350-630,350,2169.7031143114314
350-631,350,4352.448742874288
350-632,350,2314.580534979424
350-633,350,3789.102633744856
350-634,350,2241.654275427543
350-635,350,2870.8368
350-636,350,2975.1334156378603
350-637,350,2522.7443564356436
350-638,350,1817.6230303030302
350-639,350,2938.2490945020427
350-640,350,3788.911617161716
350-641,350,1570.9572839506172
350-642,350,3728.861632163216
350-643,350,2434.7090534979425
350-644,350,3086.0454425442545
350-645,350,2469.0392
350-646,350,3071.142076207621
350-647,350,2322.2368917632502
350-648,350,2883.0115511551153
350-649,350,3006.6138073807383
350-650,350,3170.7839783978397
350-651,350,2755.69341563786
350-652,350,3525.2843061728395
350-653,350,2409.180534979424
350-654,350,2262.025940594059
350-655,350,3199.8853105310536
350-656,350,1072.0402400240023
350-657,350,3021.3077333333335
350-658,350,2121.2831275720164
350-659,350,2856.3200600060004
350-660,350,3598.989888988899
350-661,350,2490.8583127572015
350-662,350,3293.2995248413727
350-663,350,2735.9542334233424
350-664,350,3606.5026342634264
350-665,350,1392.9572192034018
350-666,350,3103.762133333333
350-667,350,2618.7602666666667
350-668,350,3409.1967236723676
350-669,350,2914.6431143114314
350-670,350,inf
350-671,350,2238.5733333333333
350-672,350,1508.4986438643864
350-673,350,3379.633079641297
350-674,350,2539.618661866187
350-675,350,3122.1560905349793
350-676,350,2196.5823954617686
350-677,350,2840.8978600823048
350-678,350,2681.1848971193417
350-679,350,2917.6050165016504
350-680,350,2680.703576357636
350-681,350,3578.591886228623
350-682,350,2391.2856525652564
350-683,350,2350.0066666666667
350-684,350,2551.458103810381
350-685,350,3156.630189018902
350-686,350,2404.263086419753
350-687,350,2381.477361180562
350-688,350,963.5558382134509
350-689,350,2293.7408
350-690,350,3377.9266666666667
350-691,350,1851.7533333333336
350-692,350,3297.8776131687246
350-693,350,2444.0182478247825
350-694,350,1728.4454425442545
350-695,350,1508.6466666666665
350-696,350,2585.6990759075907
350-697,350,3488.442220518348
350-698,350,2816.3167999999996
350-699,350,4086.6822742274226
350-700,350,2416.216435643564
350-701,350,2470.8166101410143
350-702,350,2579.4761656165615
350-703,350,3158.0854845484546
350-704,350,2547.95119159916
350-705,350,2150.4548454845485
350-706,350,inf
350-707,350,2049.1013441344135
350-708,350,1275.6866666666667
350-709,350,2834.789780978098
350-710,350,2180.1466666666665
350-711,350,3757.7750975097515
350-712,350,1638.5673251028807
350-713,350,2723.725112511251
350-714,350,2241.1899176954735
350-715,350,1926.4036303630362
350-716,350,3933.2611934156375
350-717,350,3162.245164356436
350-718,350,1247.4309465020576
350-719,350,3701.643127572016
350-720,350,2417.901193415638
350-721,350,3370.372533333333
350-722,350,2583.0042386831274
350-723,350,3293.7988358835887
350-724,350,1952.265004241165
350-725,350,1811.523378337834
350-726,350,2394.870838009727
350-727,350,2942.9376
350-728,350,3958.3930666666665
350-729,350,3572.027668766877
350-730,350,3324.7520492049207
350-731,350,3041.8884248424843
350-732,350,3471.9129372937296
350-733,350,2078.627304841595
350-734,350,2978.220342034203
350-735,350,3412.6471407140716
350-736,350,2636.28
350-737,350,2188.6529432943294
350-738,350,939.2249201586826
350-739,350,inf
350-740,350,2188.547942386831
350-741,350,2776.965761316872
350-742,350,2299.9266666666667
350-743,350,2238.2363336333638
350-744,350,2179.33197719772
350-745,350,2770.1814581458148
350-746,350,2854.3388013245767
350-747,350,2961.9605744278133
350-748,350,2307.2626748971193
350-749,350,2183.38
350-750,350,3735.3445784578457
350-751,350,3332.446900690069
350-752,350,3265.4011521152115
350-753,350,2345.571193415638
350-754,350,1966.7482666666665
350-755,350,2975.2992799279928
350-756,350,3612.1474947494753
350-757,350,3990.863133943024
350-758,350,3723.392175217522
350-759,350,2159.9449144914493
350-760,350,2383.4881668166818
350-761,350,2431.0378600823046
350-762,350,2591.8734156378605
350-763,350,2578.1466666666665
350-764,350,2293.7788298829882
350-765,350,4212.805066666666
350-766,350,3649.003733333333
350-767,350,2107.013237323732
350-768,350,2904.2658998492443
350-769,350,3844.7968616861685
350-770,350,3034.6387242798355
350-771,350,3948.150909090909
350-772,350,3301.2590819081906
350-773,350,2731.2018541854186
350-774,350,3414.7906150615063
350-775,350,2750.1892592592594
350-776,350,2314.9134156378605
350-777,350,3196.4230003000303
350-778,350,2618.3445267489715
350-779,350,2626.1218666666664
350-780,350,4032.9898229822984
350-781,350,2417.174791479148
350-782,350,2571.841092109211
350-783,350,3143.1504590459044
350-784,350,3071.7376
350-785,350,5420.595967078189
350-786,350,3135.3434503450344
350-787,350,1709.9763336333635
350-788,350,3661.1229822982295
350-789,350,3423.153209876543
350-790,350,2471.2252590814637
350-791,350,1915.234107410741
350-792,350,2655.5242484248424
350-793,350,3885.7995499549957
350-794,350,3658.9706390639067
350-795,350,2896.692907290729
350-796,350,2583.9556558055806
350-797,350,2343.4649504950494
350-798,350,4334.13802580258
350-799,350,3914.1190639063907
350-800,350,3810.3288448844887
