Experiment ID,Episode,Execution Time (seconds),Travel Time Cost (seconds),Find
200-1,200,0.36460113525390625,865.290905325413,True
2,200,0,0,False
200-3,200,0.3608551025390625,166.82728809834322,False
200-4,200,0.16669321060180664,195.56314145539062,True
5,200,0,0,False
200-6,200,0.20052361488342285,444.44699121487866,False
200-7,200,0.251384973526001,301.33493975903616,True
200-8,200,0.27019214630126953,282.29215458298233,True
9,200,0,0,False
200-10,200,0.32760095596313477,112.66998420487658,False
200-11,200,0.2986290454864502,227.41666666666663,True
12,200,0,0,False
200-13,200,0.35561227798461914,533.8968265224747,False
200-14,200,0.2830390930175781,145.36666666666662,True
15,200,0,0,False
200-16,200,0.501884937286377,249.5925732339107,False
200-17,200,0.15605807304382324,244.22499999999997,True
200-18,200,0.2872660160064697,643.4247563096704,True
200-19,200,0.28360700607299805,725.6260127922384,True
200-20,200,0.4370458126068115,419.28325984051475,False
200-21,200,0.264193058013916,267.2703859424727,False
200-22,200,0.40602612495422363,980.3722868418919,True
200-23,200,0.17724895477294922,66.59499617173731,True
200-24,200,0.23540210723876953,249.19842823078434,False
200-25,200,0.43065500259399414,267.20476041867937,True
200-26,200,0.17138004302978516,66.75833333333331,True
200-27,200,0.18303298950195312,177.49999999999997,True
200-28,200,0.43990612030029297,505.94221489126267,False
200-29,200,0.4793219566345215,202.24396595205405,False
200-30,200,0.3182058334350586,280.96557097659206,True
31,200,0,0,False
200-32,200,0.249495267868042,153.96517546769496,True
200-33,200,0.27020907402038574,291.28325984051475,False
200-34,200,0.41041111946105957,209.50704611100986,False
200-35,200,0.33896493911743164,280.3294176706827,True
200-36,200,0.1947021484375,186.70833333333334,True
200-37,200,0.1956191062927246,283.8756053455757,False
200-38,200,0.21632003784179688,386.50797251329675,False
200-39,200,0.3609750270843506,711.5240973279175,False
200-40,200,0.34566783905029297,317.78260938348376,False
200-41,200,0.2550039291381836,571.9206512476536,False
200-42,200,0.21296405792236328,386.4642746402539,False
200-43,200,0.48475098609924316,140.46635332636464,False
200-44,200,0.36345911026000977,275.17165460136533,True
200-45,200,0.3699018955230713,502.688622416188,True
200-46,200,0.11526608467102051,142.52499999999998,True
200-47,200,0.29839491844177246,439.0573294197955,True
48,200,0,0,False
200-49,200,0.357637882232666,387.3870328463272,True
200-50,200,0.35405516624450684,114.08100581292263,False
400-1,400,0.8261933326721191,1241.0976031655227,True
2,400,0,0,False
400-3,400,0.8059437274932861,275.7747548556183,False
400-4,400,0.29001808166503906,253.35772401071617,True
5,400,0,0,False
400-6,400,0.3448059558868408,247.26356257405772,True
400-7,400,0.39951300621032715,336.54275208687636,False
400-8,400,0.460007905960083,288.2345315337627,True
9,400,0,0,False
400-10,400,0.5559177398681641,157.22499999999997,True
400-11,400,0.3108060359954834,227.41666666666663,True
12,400,0,0,False
400-13,400,0.37818002700805664,158.04999999999998,True
400-14,400,0.5057120323181152,145.36666666666662,True
15,400,0,0,False
400-16,400,1.3852460384368896,217.97983277544273,False
400-17,400,0.17561006546020508,244.22499999999997,True
400-18,400,0.46944594383239746,279.1580137095143,False
400-19,400,0.44304680824279785,359.8981976898949,False
400-20,400,0.857097864151001,287.23992769373484,False
400-21,400,0.4776911735534668,471.8330709905984,True
400-22,400,0.9151270389556885,415.1286439063863,False
400-23,400,0.2713918685913086,66.56172623725749,True
400-24,400,0.3980858325958252,395.3906475881757,False
400-25,400,0.752769947052002,199.25401663905296,True
400-26,400,0.23896479606628418,66.75833333333331,True
400-27,400,0.2286229133605957,177.49999999999997,True
400-28,400,1.0624480247497559,445.0999523272948,True
400-29,400,0.8263888359069824,109.34062508372679,False
400-30,400,0.5492630004882812,280.96557097659206,True
31,400,0,0,False
400-32,400,0.4267897605895996,148.89161899396143,True
400-33,400,0.45284199714660645,431.9555834089714,False
400-34,400,1.0640461444854736,603.4538612465465,True
400-35,400,0.5142099857330322,280.3294176706827,True
400-36,400,0.2389848232269287,186.70833333333334,True
400-37,400,0.3125910758972168,420.6446992981281,False
400-38,400,0.36490392684936523,399.4277752478596,True
400-39,400,0.791572093963623,388.2023038156947,False
400-40,400,0.9477839469909668,408.65487724005396,False
400-41,400,0.4351961612701416,447.2446172342586,True
400-42,400,0.3620736598968506,377.81048195773377,False
400-43,400,2.611250877380371,115.2739404185,False
400-44,400,0.668503999710083,300.843699455213,False
400-45,400,0.7860369682312012,575.8695619304899,True
400-46,400,0.13810420036315918,142.52499999999998,True
400-47,400,0.5027320384979248,218.0033772575824,False
48,400,0,0,False
400-49,400,0.6065459251403809,365.80290189268896,True
400-50,400,0.851384162902832,330.76330326947186,True
600-1,600,2.490450859069824,306.825,True
2,600,0,0,False
600-3,600,1.474797248840332,966.9257970731844,True
600-4,600,0.3664510250091553,136.4837530400385,True
5,600,0,0,False
600-6,600,0.46320581436157227,247.26356257405772,True
600-7,600,0.5188038349151611,285.28668839025886,True
600-8,600,0.6236660480499268,351.50348382310176,True
9,600,0,0,False
600-10,600,0.5628433227539062,157.22499999999997,True
600-11,600,0.32151198387145996,227.41666666666663,True
12,600,0,0,False
600-13,600,0.3935849666595459,158.04999999999998,True
600-14,600,0.5703349113464355,145.36666666666662,True
15,600,0,0,False
600-16,600,4.58405613899231,194.91560708516664,False
600-17,600,0.18724393844604492,244.22499999999997,True
600-18,600,0.6131751537322998,471.9348065941965,True
600-19,600,0.5891468524932861,667.8792447246732,True
600-20,600,4.159792900085449,814.6247772905339,True
600-21,600,0.6720540523529053,376.8164857875651,True
600-22,600,3.1559927463531494,364.98333333333335,True
600-23,600,0.33059000968933105,66.56172623725749,True
600-24,600,0.5329651832580566,381.48552052698244,False
600-25,600,0.9918558597564697,264.86277556378917,False
600-26,600,0.2759542465209961,66.75833333333331,True
600-27,600,0.23669028282165527,177.49999999999997,True
600-28,600,1.7088031768798828,216.26666666666665,True
600-29,600,3.858062744140625,107.8989404185,False
600-30,600,0.7284059524536133,280.96557097659206,True
31,600,0,0,False
600-32,600,0.5582759380340576,148.89161899396143,True
600-33,600,0.5775091648101807,263.69999999999993,True
600-34,600,5.277626276016235,377.0383032694719,True
600-35,600,0.7147238254547119,442.00076466455323,True
600-36,600,0.24922609329223633,186.70833333333334,True
600-37,600,0.3657360076904297,216.5833333333333,True
600-38,600,0.49707603454589844,362.50706993380504,True
600-39,600,1.4862289428710938,321.01045098020467,False
600-40,600,3.8910210132598877,376.16666666666663,True
600-41,600,0.5697548389434814,304.4591070310415,False
600-42,600,0.49497294425964355,613.797054756146,True
600-43,600,4.0515358448028564,1056.5481092576874,True
600-44,600,0.9603898525238037,555.6443618013208,True
600-45,600,1.2056870460510254,496.3322376432587,True
600-46,600,0.1505270004272461,142.52499999999998,True
600-47,600,0.6946618556976318,310.6499523272947,True
48,600,0,0,False
600-49,600,0.7963681221008301,482.8201721722246,True
600-50,600,3.7464346885681152,107.2489404185,False
800-1,800,2.5483639240264893,306.825,True
2,800,0,0,False
800-3,800,3.8388960361480713,111.55432648221273,False
800-4,800,0.425260066986084,136.4837530400385,True
5,800,0,0,False
800-6,800,0.5537583827972412,380.5911000084346,False
800-7,800,0.622779130935669,285.28668839025886,True
800-8,800,0.771136999130249,298.26438256704853,True
9,800,0,0,False
800-10,800,0.5768768787384033,157.22499999999997,True
800-11,800,0.34046006202697754,227.41666666666663,True
12,800,0,0,False
800-13,800,0.404555082321167,158.04999999999998,True
800-14,800,0.6134829521179199,145.36666666666662,True
15,800,0,0,False
800-16,800,7.502169847488403,194.91560708516664,False
800-17,800,0.2000730037689209,244.22499999999997,True
