Experiment ID,Number of Ants,Travel Time Cost (seconds),Execution Time (seconds),Find
700-50,700,465.56635446685874,0.12829327583312988,True
900-1,900,1151.5641234044463,0.1266789436340332,True
2,900,0,0,False
900-3,900,913.749301309457,0.13089990615844727,True
900-4,900,1569.5741234044463,0.15070486068725586,True
5,900,0,0,False
900-6,900,493.06947791164663,0.13885211944580078,True
900-7,900,517.601204819277,0.18482589721679688,True
900-8,900,1040.0787232807413,0.19575929641723633,True
9,900,0,0,False
900-10,900,918.2926346427904,0.13647985458374023,True
900-11,900,877.6559679761241,0.1284489631652832,True
12,900,0,0,False
900-13,900,768.1234038407272,0.10518789291381836,True
900-14,900,530.8908825228973,0.14488983154296875,True
15,900,0,0,False
900-16,900,879.771914569105,0.15906190872192383,True
900-17,900,596.3708825228973,0.14311504364013672,True
900-18,900,686.4054995196925,0.13696789741516113,True
900-19,900,1585.547456737779,0.14912009239196777,True
900-20,900,951.4169145691048,0.15607023239135742,True
900-21,900,617.3224567377797,0.14837098121643066,True
900-22,900,853.2666666666665,0.1273500919342041,True
900-23,900,997.7818721449352,0.14169096946716309,True
900-24,900,1095.928012725515,0.1699998378753662,True
900-25,900,734.2295203836929,0.14979314804077148,True
900-26,900,876.1226346427906,0.12888193130493164,True
900-27,900,1155.8657900711128,0.15006017684936523,True
900-28,900,482.84802113352544,0.15311789512634277,True
900-29,900,813.360790071113,0.15072321891784668,True
900-30,900,1153.7374567377797,0.1506359577178955,True
31,900,0,0,False
900-32,900,951.0143013094571,0.1460869312286377,True
900-33,900,515.477877939723,0.1463470458984375,True
900-34,900,612.2844779116465,0.13901996612548828,True
900-35,900,462.3454091597039,0.21293902397155762,True
900-36,900,584.5478112449799,0.13735580444335938,True
900-37,900,853.8852479024384,0.15918707847595215,True
900-38,900,1007.7170406650777,0.12213492393493652,True
900-39,900,782.3707900711129,0.1488780975341797,True
900-40,900,634.4975937857156,0.1453721523284912,True
900-41,900,862.9163885374612,0.159743070602417,True
900-42,900,1044.3540888578489,0.08997821807861328,True
900-43,900,596.4694779116464,0.13998794555664062,True
900-44,900,1163.8257900711128,0.14993000030517578,True
900-45,900,816.4739921837744,0.21660804748535156,True
900-46,900,909.9126346427904,0.13067913055419922,True
900-47,900,620.3892158562306,0.13999199867248535,True
48,900,0,0,False
900-49,900,1026.8865123269416,0.09212112426757812,True
900-50,900,465.56635446685874,0.14935803413391113,True
