Experiment ID,Episode,Execution Time (seconds),Time Cost
400-2,400,16.324541807174683,4252.411515151515
400-5,400,18.19705891609192,4639.730136259552
400-6,400,15.712944984436035,3496.4303292181066
400-8,400,14.346384048461914,4225.1016049382715
400-11,400,14.552314281463623,3763.2156749378637
400-12,400,14.310816049575806,4507.734281428142
400-13,400,12.436102867126465,5586.512969449537
400-14,400,12.336233139038086,4970.6195799579955
400-19,400,14.460271120071411,4237.100846084608
400-20,400,16.01462197303772,3230.6091869186916
400-24,400,16.359519004821777,4682.080528052806
400-25,400,16.86239004135132,4218.528838402359
400-28,400,17.171290159225464,3924.121854185418
