Experiment ID,Episode,Execution Time (seconds),Time Cost,Find
400-0,400,1.0211458206176758,99604216.51426078,False
400-1,400,0.960669994354248,99703409.35428971,False
400-2,400,1.0733020305633545,99803966.55466667,False
400-3,400,1.0174229145050049,99504166.68156873,False
400-4,400,1.0148899555206299,99504104.78526375,False
400-5,400,0.9885940551757812,99603895.20057125,False
400-6,400,0.9238748550415039,5004.458888888888,True
400-7,400,0.9751710891723633,99605235.4726716,False
400-8,400,0.9507012367248535,99802846.57925926,False
400-9,400,0.9456467628479004,5635.278933333333,True
400-10,400,0.9595997333526611,5491.32,True
400-11,400,0.897845983505249,99702049.63878788,False
400-12,400,0.987450122833252,99504155.96052524,False
400-13,400,0.9599452018737793,99704779.30338986,False
400-14,400,0.9786548614501953,6192.8817842154585,True
400-15,400,0.9938609600067139,99503457.11894864,False
400-16,400,0.9284491539001465,99504351.83294666,False
400-17,400,0.9783079624176025,99404149.98541321,False
400-18,400,0.9325449466705322,99404004.66500905,False
400-19,400,0.9312357902526855,99604170.80461141,False
400-20,400,0.9039289951324463,99703350.77771378,False
400-21,400,0.9705240726470947,99603455.94484282,False
400-22,400,0.9533050060272217,99604508.388,False
400-23,400,0.9332370758056641,99603441.03210802,False
400-24,400,0.6363358497619629,99703462.56855686,False
400-25,400,0.9827079772949219,99603148.3130185,False
400-26,400,0.9969468116760254,99504018.17861123,False
400-27,400,0.9424409866333008,99603924.58903402,False
400-28,400,1.0067739486694336,99504031.79096627,False
400-29,400,0.9574811458587646,99603272.59653285,False
