Experiment ID,Episode,Execution Time (seconds),Travel Time Cost (seconds)
400-5,400,1.0705420970916748,4577.420388261048
400-6,400,0.7739698886871338,4522.1456
400-7,400,0.7946977615356445,4529.477079115319
400-8,400,0.6492178440093994,4900.952295562889
400-9,400,0.7840390205383301,4139.9151155115505
400-10,400,0.9385769367218018,3361.736105610561
400-11,400,0.6302320957183838,3960.9008820882086
400-12,400,0.7863421440124512,3361.736105610561
400-14,400,1.0778768062591553,4428.41107590759
400-16,400,0.8533790111541748,3398.5151335133514
400-17,400,1.174351692199707,3361.736105610561
400-18,400,1.2001926898956299,3924.121854185418
400-19,400,0.7618598937988281,3709.660861975086
400-22,400,0.8722639083862305,3361.736105610561
400-24,400,1.7423040866851807,4520.480624062406
400-26,400,0.7600719928741455,3361.736105610561
400-30,400,0.9605109691619873,4343.340328112811
