Experiment ID,Episode,Execution Time (seconds),Time Cost,Find
400-0,400,0.6261069774627686,3164.895091509152,True
400-1,400,0.6901140213012695,766.5866666666666,True
400-2,400,0.6724848747253418,1748.26,True
400-3,400,0.7159099578857422,3242.375061728396,True
400-4,400,0.6575958728790283,2303.827242798354,True
400-5,400,0.7741713523864746,3248.3,True
400-6,400,0.6378998756408691,2328.882083888389,True
400-7,400,0.678070068359375,766.5866666666666,True
400-8,400,0.7017369270324707,4649.459733333333,True
400-9,400,0.6352419853210449,1527.8133333333335,True
400-10,400,0.7718889713287354,3295.791427439041,True
400-11,400,0.6298720836639404,1748.26,True
400-12,400,0.7338001728057861,1460.0771257125712,True
400-13,400,0.6529381275177002,4219.549333333334,True
400-14,400,0.6418001651763916,4371.252271227123,True
400-15,400,0.679534912109375,2436.6691769547324,True
400-16,400,0.6829938888549805,1482.0168076807681,True
400-17,400,0.740576982498169,3719.990350617284,True
400-18,400,0.645953893661499,99601829.18668477,False
400-19,400,0.6529757976531982,2545.2936,True
400-20,400,0.6216869354248047,1117.0066666666667,True
400-21,400,0.6689748764038086,3071.882505610561,True
400-22,400,0.7782299518585205,2976.2508823045264,True
400-23,400,0.6464178562164307,2514.8057613168726,True
400-24,400,0.6423490047454834,1794.4133333333332,True
400-25,400,0.754892110824585,4296.005464842781,True
400-26,400,0.628730058670044,1527.8133333333335,True
400-27,400,0.6310231685638428,1863.3800823045267,True
400-28,400,0.6801950931549072,3117.0200000000004,True
400-29,400,0.681988000869751,3248.3,True
